City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (C),Max Temp (F)
64,uturoa,-16.7333,-151.4333,300.06,90,100,8.3,PF,1707725663,26.910000000000025,80.43800000000005
65,aykhal,66.0,111.5,242.04,99,100,3.18,RU,1707725663,-31.109999999999985,-23.997999999999976
66,klyuchi,52.2667,79.1667,259.32,69,100,7.36,RU,1707725664,-13.829999999999984,7.10600000000003
67,bonthe,7.5264,-12.505,298.61,82,2,1.86,SL,1707725665,25.460000000000036,77.82800000000006
68,cabo san lucas,22.8909,-109.9124,291.21,70,0,2.03,MX,1707725473,18.060000000000002,64.50800000000001
69,furukawa,38.5717,140.9556,278.01,60,12,4.91,JP,1707725665,4.860000000000014,40.748000000000026
70,novaya igirma,57.1334,103.9112,260.34,88,100,3.91,RU,1707725667,-12.810000000000002,8.941999999999997
71,chui,-33.6971,-53.4616,296.38,95,0,2.59,UY,1707725668,23.230000000000018,73.81400000000004
72,esil,51.9556,66.4042,258.92,85,89,3.75,KZ,1707725669,-14.229999999999961,6.38600000000007
73,kupang,-10.1667,123.5833,303.47,84,40,5.14,ID,1707725669,30.32000000000005,86.57600000000009
74,bukama,-9.2,25.85,295.28,97,100,0.89,CD,1707725670,22.129999999999995,71.83399999999999
75,arkhangel'sk,64.5401,40.5433,250.21,84,75,2.0,RU,1707725670,-22.93999999999997,-9.291999999999945
76,tafuna,-14.3358,-170.72,301.12,100,75,2.06,AS,1707725671,27.970000000000027,82.34600000000005
77,akureyri,65.6835,-18.0878,274.11,80,75,7.72,IS,1707725672,0.9600000000000364,33.728000000000065
78,portland,45.5234,-122.6762,282.38,92,100,4.63,US,1707725580,9.230000000000018,48.61400000000003
79,uusikaupunki,60.8004,21.4084,263.92,72,28,5.94,FI,1707725673,-9.229999999999961,15.38600000000007
80,hawaiian paradise park,19.5933,-154.9731,294.88,93,100,3.09,US,1707725674,21.730000000000018,71.11400000000003
81,wailua homesteads,22.0669,-159.378,293.39,83,0,3.6,US,1707725675,20.24000000000001,68.43200000000002
82,pemangkat,1.1667,108.9667,300.58,82,100,5.91,ID,1707725675,27.430000000000007,81.37400000000001
83,xining,36.6167,101.7667,278.91,20,0,1.66,CN,1707725676,5.760000000000048,42.36800000000009
84,ceeldheer,3.8488,47.1806,306.47,39,60,7.07,SO,1707725677,33.32000000000005,91.97600000000008
85,olonkinbyen,70.9221,-8.7187,270.76,74,100,6.73,SJ,1707725677,-2.3899999999999864,27.698000000000025
86,arraial do cabo,-22.9661,-42.0278,297.95,89,3,9.6,BR,1707725678,24.80000000000001,76.64000000000001
87,west island,-12.1568,96.8225,304.14,70,40,3.6,CC,1707725679,30.99000000000001,87.78200000000001
88,nenagh,52.8619,-8.1967,275.13,94,12,3.38,IE,1707725680,1.9800000000000182,35.564000000000036
89,haiku-pauwela,20.9219,-156.3051,294.28,89,40,2.06,US,1707725681,21.129999999999995,70.03399999999999
90,myeik,12.4333,98.6,303.03,51,34,4.74,MM,1707725681,29.879999999999995,85.78399999999999
91,hermanus,-34.4187,19.2345,300.29,48,0,1.37,ZA,1707725682,27.140000000000043,80.85200000000007
92,oamaru,-45.0784,170.9801,287.25,74,9,4.61,NZ,1707725683,14.100000000000023,57.38000000000004
93,ressano garcia,-25.442,31.9913,300.18,55,84,2.24,MZ,1707725684,27.03000000000003,80.65400000000005
94,santa elena de uairen,4.6167,-61.1333,290.45,88,46,2.24,VE,1707725684,17.30000000000001,63.14000000000002
95,tiksi,71.6872,128.8694,239.07,100,100,0.61,RU,1707725685,-34.079999999999984,-29.343999999999973
96,souillac,-20.5167,57.5167,303.9,79,75,6.17,MU,1707725686,30.75,87.35
97,san mariano,7.5,126.0,300.1,68,14,3.95,PH,1707725686,26.950000000000045,80.51000000000008
98,keflavik,64.0049,-22.5624,273.39,93,100,7.72,IS,1707725687,0.2400000000000091,32.432000000000016
99,bredasdorp,-34.5322,20.0403,301.72,38,0,1.48,ZA,1707725688,28.57000000000005,83.42600000000009
100,jalai nur,49.45,117.7,268.21,86,71,0.86,CN,1707725688,-4.939999999999998,23.108000000000004
101,isangel,-19.55,169.2667,299.63,88,8,6.34,VU,1707725689,26.480000000000018,79.66400000000003
102,queenstown,-31.8976,26.8753,303.27,25,0,5.25,ZA,1707725690,30.120000000000005,86.21600000000001
103,melfort,52.8667,-104.6177,266.22,79,8,3.6,CA,1707725690,-6.92999999999995,19.52600000000009
104,center,31.5107,-96.4247,279.37,76,100,4.63,US,1707725691,6.220000000000027,43.19600000000005
105,iqaluit,63.7506,-68.5145,243.0,63,20,7.2,CA,1707725563,-30.149999999999977,-22.26999999999996
106,georgetown,5.4112,100.3354,309.12,38,20,4.63,MY,1707725692,35.97000000000003,96.74600000000005
107,tralee,52.2704,-9.7026,276.29,93,75,3.09,IE,1707725693,3.140000000000043,37.65200000000008
108,petropavlovsk-kamchatsky,53.0452,158.6483,259.48,47,0,3.0,RU,1707725693,-13.669999999999959,7.394000000000073
109,tazacorte,28.629,-17.9293,291.57,58,20,2.24,ES,1707725694,18.420000000000016,65.15600000000003
110,shangzhi,45.2167,127.9667,275.01,68,0,10.7,CN,1707725694,1.8600000000000136,35.34800000000003
111,ambodifotatra,-16.9833,49.85,300.14,80,73,3.51,MG,1707725695,26.99000000000001,80.58200000000002
112,college,64.8569,-147.8028,259.33,85,40,1.54,US,1707725696,-13.819999999999993,7.124000000000013
113,port mathurin,-19.6833,63.4167,300.62,85,15,8.78,MU,1707725697,27.470000000000027,81.44600000000005
114,kiama,-34.6833,150.8667,300.58,75,34,4.47,AU,1707725697,27.430000000000007,81.37400000000001
115,susuman,62.7833,148.1667,235.92,100,35,0.45,RU,1707725698,-37.22999999999999,-35.01399999999998
116,puerto natales,-51.7236,-72.4875,280.14,73,93,5.83,CL,1707725699,6.990000000000009,44.582000000000015
117,conception bay south,47.4999,-52.9981,274.22,95,99,3.28,CA,1707725699,1.07000000000005,33.92600000000009
118,hithadhoo,-0.6,73.0833,299.61,87,100,7.69,MV,1707725700,26.460000000000036,79.62800000000007
119,jamestown,42.097,-79.2353,273.92,91,100,3.09,US,1707725623,0.7700000000000387,33.38600000000007
120,sarangani,5.4033,125.4636,300.69,76,75,11.08,PH,1707725701,27.54000000000002,81.57200000000003
121,isafjordur,66.0755,-23.124,274.17,75,100,10.29,IS,1707725702,1.0200000000000387,33.83600000000007
122,sao gabriel da cachoeira,-0.1303,-67.0892,296.19,99,100,0.27,BR,1707725703,23.04000000000002,73.47200000000004
123,qaqortoq,60.7167,-46.0333,261.87,68,100,2.61,GL,1707725704,-11.279999999999973,11.696000000000048
124,hadibu,12.65,54.0333,300.37,64,9,3.84,YE,1707725705,27.220000000000027,80.99600000000005
125,magomeni,-6.8,39.25,304.16,64,99,4.07,TZ,1707725708,31.010000000000048,87.81800000000008
126,porto seguro,-16.4497,-39.0647,297.44,100,40,1.54,BR,1707725710,24.29000000000002,75.72200000000004
127,puerto aysen,-45.4,-72.7,276.62,97,53,1.64,CL,1707725579,3.4700000000000273,38.24600000000005
128,punta arenas,-53.15,-70.9167,280.21,70,0,9.77,CL,1707725519,7.060000000000002,44.708000000000006
129,taltal,-25.4,-70.4833,292.68,84,100,2.01,CL,1707725420,19.53000000000003,67.15400000000005
130,caleta de carquin,-11.0925,-77.6267,297.18,84,100,3.33,PE,1707725712,24.03000000000003,75.25400000000005
131,conde,-7.2597,-34.9075,297.85,94,40,3.09,BR,1707725713,24.700000000000045,76.46000000000008
132,tabou,4.423,-7.3528,300.68,84,63,1.51,CI,1707725714,27.53000000000003,81.55400000000006
133,bodaybo,57.8506,114.1933,262.49,85,100,4.93,RU,1707725714,-10.659999999999968,12.812000000000058
134,mugia,43.1041,-9.2179,284.21,78,100,2.57,ES,1707725715,11.060000000000002,51.908
135,callao,-12.0667,-77.15,299.1,73,40,7.2,PE,1707725716,25.950000000000045,78.71000000000008
136,stanley,54.868,-1.6985,276.92,87,75,3.6,GB,1707725716,3.7700000000000387,38.78600000000007
137,lyubim,58.3625,40.6843,266.57,94,100,2.15,RU,1707725717,-6.579999999999984,20.156000000000027
138,alaghsas,17.0187,8.0168,296.09,10,0,2.57,NE,1707725718,22.939999999999998,73.292
139,khanty-mansiysk,61.0042,69.0019,251.54,71,0,6.0,RU,1707725718,-21.609999999999985,-6.897999999999975
140,waingapu,-9.6567,120.2641,300.76,84,92,5.7,ID,1707725719,27.610000000000014,81.69800000000002
141,hammerfest,70.6634,23.6821,270.4,100,75,2.06,NO,1707725547,-2.75,27.05
142,prado,-17.3411,-39.2208,297.2,92,10,0.99,BR,1707725721,24.05000000000001,75.29000000000002
143,stephenville,32.2207,-98.2023,276.62,88,100,4.63,US,1707725721,3.4700000000000273,38.24600000000005
144,pontianak,-0.0333,109.3333,306.14,58,40,2.57,ID,1707725722,32.99000000000001,91.38200000000002
145,sao jose da coroa grande,-8.8978,-35.1478,299.5,82,100,3.97,BR,1707725723,26.350000000000023,79.43000000000004
146,ilulissat,69.2167,-51.1,250.16,59,57,1.54,GL,1707725724,-22.98999999999998,-9.381999999999962
147,morondava,-20.2833,44.2833,301.93,74,100,2.2,MG,1707725725,28.78000000000003,83.80400000000006
148,anadyr,64.75,177.4833,245.43,75,0,7.0,RU,1707725725,-27.71999999999997,-17.895999999999944
149,margaret river,-33.95,115.0667,294.85,55,7,8.78,AU,1707725726,21.700000000000045,71.06000000000009
150,fort bragg,35.139,-79.006,288.61,95,100,1.54,US,1707725727,15.460000000000036,59.82800000000007
151,saldanha,-33.0117,17.9442,295.42,71,14,3.19,ZA,1707725727,22.27000000000004,72.08600000000007
152,usinsk,65.9939,57.5281,243.75,98,80,1.79,RU,1707725728,-29.399999999999977,-20.91999999999996
153,kodiak,57.79,-152.4072,274.88,69,20,1.54,US,1707725729,1.7300000000000182,35.11400000000003
154,hasaki,35.7333,140.8333,283.31,46,22,5.07,JP,1707725729,10.160000000000025,50.288000000000046
155,yuzhno-kurilsk,44.0306,145.8556,267.8,80,46,1.45,RU,1707725730,-5.349999999999966,22.37000000000006
156,punta del este,-34.9667,-54.95,298.69,97,0,2.24,UY,1707725731,25.54000000000002,77.97200000000004
157,kayattar,8.95,77.8,306.87,38,100,6.6,IN,1707725731,33.72000000000003,92.69600000000005
158,sfizef,35.2346,-0.2444,287.87,75,42,7.69,DZ,1707725732,14.720000000000027,58.49600000000005
159,senanga,-16.1167,23.2667,301.91,47,14,3.79,ZM,1707725733,28.760000000000048,83.76800000000009
160,kabansk,52.0486,106.6528,265.7,83,100,4.94,RU,1707725733,-7.449999999999989,18.59000000000002
161,yaren,-0.5472,166.916,301.9,75,61,2.97,NR,1707725734,28.75,83.75
